Ciudad de ubicación,count
Bogotá D.C.,2543
Cali,713
Villavicencio,344
Medellín,305
Cartagena de Indias,246
Barranquilla,141
Santa Marta,139
Pereira,132
Leticia,104
Neiva,82
Soledad,80
Cúcuta,62
Ibagué,61
Soacha,57
Dosquebradas,57
Ipiales,56
Bello,51
Palmira,47
Armenia,45
Valledupar,43
La Dorada,34
Chía,29
Envigado,28
San Andrés de Tumaco,27
Buenaventura,27
Ciénaga,27
Pasto,24
Yumbo,22
Bucaramanga,20
Popayán,19
Tuluá,17
Yopal,17
Montería,17
Cajicá,16
Itagüí,16
Manizales,15
Togüí,14
Zipaquirá,13
El Cerrito,13
Chocó,13
Turbaco,13
Funza,12
Sabanagrande,12
Cartago,11
Mosquera,11
Jamundí,11
Pacho,11
Cota,10
Rionegro,10
Sabaneta,9
La Estrella,9
Acacías,9
Malambo,9
Florida,8
Florencia,8
Guadalajara de Buga,8
Madrid,8
Floridablanca,8
Copacabana,7
Tunja,7
Tenjo,6
Miranda,6
Calarcá,6
Riohacha,6
Villapinzón,6
Barrancabermeja,6
San Andrés,6
Facatativá,5
Granada,5
Lorica,5
Sibaté,5
El Dovio,4
Gigante,4
Arjona,4
Villeta,4
Santana,4
Sopó,4
Suesca,4
Chinchiná,4
Apartadó,4
Puerto Colombia,4
Santa Rosa de Cabal,3
Candelaria,3
Tocancipá,3
Montebello,3
Subachoque,3
Socha,3
Puerto Tejada,3
Caldas,3
Palermo,3
Villamaría,3
San Juan de Arama,3
Montenegro,3
Villa del Rosario,3
Yotoco,3
San Pedro,3
Pitalito,3
Espinal,3
Circasia,3
Restrepo,3
Sogamoso,3
Trujillo,3
Guarne,3
Cumbal,3
Agustín Codazzi,2
Puebloviejo,2
San Diego,2
Túquerres,2
Viterbo,2
Tenza,2
Santa Rosa de Osos,2
Anapoima,2
Melgar,2
Villa de San Diego de Ubaté,2
Santa Rosa,2
Río de Oro,2
Ocaña,2
Baranoa,2
Guatapé,2
Timaná,2
San Agustín,2
Zona Bananera,2
La Unión,2
La Ceja,2
San Juan de Rioseco,2
Timbío,2
Guacarí,2
Paicol,2
Vijes,2
Aguachica,2
Cimitarra,2
Piedecuesta,2
San Martín,2
Sonsón,2
Manatí,1
El Santuario,1
Acevedo,1
Dagua,1
Albania,1
Amagá,1
Cuaspúd,1
Fundación,1
Cocorná,1
Potosí,1
Sahagún,1
Concepción,1
Andes,1
Sincelejo,1
Santo Tomás,1
Santander de Quilichao,1
Fusagasugá,1
Caloto,1
Calamar,1
Maicao,1
Oicatá,1
Guachené,1
Angostura,1
Donmatías,1
La Calera,1
Filandia,1
Galapa,1
Andalucía,1
Retiro,1
La Paz,1
Garzón,1
Curití,1
Bugalagrande,1
Aquitania,1
Garagoa,1
El Tambo,1
San Pedro de Urabá,1
El Banco,1
Villa rica,1
Santa Sofía,1
Aipe,1
Guaduas,1
Cereté,1
Tierralta,1
Cundinamarca,1
Frontino,1
Barranco de Loba,1
Ulloa,1
San Francisco,1
Toledo,1
Belén,1
Bosconia,1
Contadero,1
Paz de Ariporo,1
Puerto Santander,1
La Plata,1
Quimbaya,1
Choachí,1
Isnos,1
Anserma,1
Calima,1
Cumbitara,1
San Cristóbal,1
Ginebra,1
San Juan del Cesar,1
La Virginia,1
Ciénaga de Oro,1
Ponedera,1
La Tebaida,1
Polonuevo,1
Cogua,1
Agrado,1
Barbosa,1
